Name,Score,BoxOffice,Year
火锅英雄,7.2,37054,2016
将错就错,3.8,3937,2015
疯岳撬佳人,3.3,6386,2017
大卫贝肯之倒霉特工熊,4.4,12636,2017
刺客聂隐娘,7.2,6141,2015
逆时营救,4.8,20071,2017
阿唐奇遇,7.2,3005,2017
微微一笑很倾城,6.3,27586,2016
谁的青春不迷茫,6.5,17991,2016
驴得水,8.3,17306,2016
夏有乔木 雅望天堂,4.7,15642,2016
破风,7.2,14529,2015
决战食神,4.7,12191,2017
有完没完,5.4,3670,2017
真相禁区,4.5,4204,2016
碟中谍5：神秘国度,7.7,86977,2015
钟馗伏魔：雪妖魔灵,4.2,40924,2015
女汉子真爱公式,4.7,6338,2016
喜欢你,6.9,20992,2017
剩者为王,5.6,6149,2015
百团大战,4.7,41367,2015
李雷和韩梅梅,3.4,4057,2017
荡寇风云,6.1,6503,2017
爵迹,3.8,38292,2016
绑架者,4.9,9388,2017
一切都好,7.1,2623,2016
那件疯狂的小事叫爱情,3.9,3659,2016
三只小猪2,3.6,2457,2017
精灵王座,7.5,2512,2016
冰河追凶,5.7,4320,2016
绝地逃亡,5.5,88952,2016
最后的巫师猎人,5.8,17989,2016
重返20岁,7.2,36612,2015
春娇救志明,7.2,17483,2017
湄公河行动,8.0,118452,2016
过年好,5.0,5405,2016
西游记之孙悟空三打白骨精,5.7,120102,2016
战狼,7.4,54530,2015
我最好朋友的婚礼,4.3,3745,2016
三人行,6.6,10054,2016
大闹天竺,3.8,75793,2017
爸爸的假期,4.1,11626,2015
恋爱中的城市,5.6,5365,2015
万物生长,5.8,14832,2015
新步步惊心,4.1,3221,2015
惊天破,3.9,11433,2016
喜羊羊与灰太狼之羊年喜羊羊,6.8,6781,2015
我是证人,6.1,21527,2015
捉迷藏,5.4,7146,2016
西游伏妖篇,5.6,165593,2017
战狼2,7.4,561099,2017
悟空传,5.2,69453,2017
那年夏天你去了哪里,4.7,3469,2016
惊天大逆转,7.0,7866,2016
杜拉拉追婚记,5.3,4972,2015
大耳朵图图之美食狂想曲,5.7,3669,2017
极盗者,6.8,24855,2015
赤道,6.0,20974,2015
玩命速递：重启之战,5.9,12849,2015
冲锋车,6.6,2092,2015
一念天堂,5.2,8279,2015
港囧,5.7,161410,2015
超级快递,4.5,6164,2016
左耳,5.4,48523,2015
烈日灼心,7.9,30487,2015
解救吾先生,7.8,19592,2015
暴走神探,5.3,2456,2015
勇士之门,3.5,2284,2016
我的特工爷爷,5.3,32446,2016
摇滚藏獒,6.8,3965,2016
十月初五的月光,5.4,4262,2015
封门诡影,4.6,2582,2015
太平轮：彼岸,5.8,5105,2015
大唐玄奘,5.2,3304,2016
外公芳龄38,4.2,6042,2016
功夫瑜伽,5.1,175259,2017
滚蛋吧！肿瘤君,7.4,51106,2015
坏蛋必须死,6.0,4705,2015
快手枪手快枪手,5.2,5356,2016
一句顶一万句,6.1,2090,2016
建军大业,-1.0,34969,2017
山河故人,7.8,3222,2015
栀子花开,4.1,37901,2015
巴啦啦小魔仙之魔箭公主,4.7,3828,2015
冲天火,3.6,3618,2016
高跟鞋先生,5.0,12996,2016
熊出没之奇幻空间,6.5,52249,2017
有种你爱我,4.7,6822,2015
万万没想到,5.5,32251,2015
闯堂兔2疯狂马戏团,3.7,2116,2015
致青春·原来你还在这里,4.0,33686,2016
澳门风云2,5.6,97492,2015
白幽灵传奇之绝命逃亡,4.1,2433,2015
一代宗师3D,7.7,6302,2015
道士下山,5.4,40078,2015
夜孔雀,4.7,3318,2016
从天“儿”降,3.4,5663,2015
梦想合伙人,3.9,8102,2016
失孤,6.4,21618,2015
使徒行者,6.7,60632,2016
圣诞大赢家,3.8,2671,2015
暴疯语,5.9,4490,2015
功夫熊猫3,7.7,100200,2016
大话西游3,3.6,36606,2016
比利·林恩的中场战事,8.4,16519,2016
勇士,3.5,3288,2016
不可思异,3.8,11191,2015
蒸发太平洋,3.8,3505,2016
父子雄兵,4.8,12466,2017
冲上云霄,7.6,15631,2015
老炮儿,8.0,90280,2015
28岁未成年,5.7,12938,2016
睡在我上铺的兄弟,5.0,12782,2016
新大头儿子和小头爸爸2一日成才,4.2,9040,2016
功夫,7.9,2560,2015
拆弹专家,6.4,39924,2017
摆渡人,4.0,48298,2016
长城,4.9,117458,2016
青禾男高,4.1,3030,2017
天亮之前,5.6,3640,2016
熊出没之熊心归来,6.2,28775,2016
陆垚知马俐,5.4,19212,2016
毒。诫,4.8,4017,2017
猪猪侠之终极决战,4.7,4549,2015
澳门风云3,3.9,111819,2016
唐人街探案,7.4,82355,2015
三只小猪与神灯,3.6,2382,2015
卧虎藏龙：青冥宝剑,4.7,25625,2016
前任2：备胎反击战,5.0,25200,2015
麻烦家族,4.6,3228,2017
“吃吃”的爱,5.6,2745,2017
狼图腾,6.9,70405,2015
魔宫魅影,4.7,8845,2016
王牌逗王牌,3.3,26035,2016
闪光少女,7.5,6232,2017
夏洛特烦恼,7.4,144161,2015
大护法,8.0,8729,2017
反转人生,5.5,6938,2017
记忆大师,7.2,29185,2017
东北往事之破马张飞,3.6,10611,2017
喵星人,4.4,4452,2017
从你的全世界路过,5.3,81425,2016
冒牌卧底,3.8,2231,2016
盗墓笔记,4.7,100455,2016
潜艇总动员5：时光宝盒,4.2,4600,2015
神秘世界历险记3,5.9,6549,2016
重返·狼群,8.1,3281,2017
危城,5.6,16740,2016
谜城,5.5,14886,2015
封神传奇,2.9,28399,2016
既然青春留不住,4.5,5020,2015
消失爱人,4.8,6420,2016
龙在哪里?,5.5,2078,2015
新娘大作战,3.9,17337,2015
熊出没之雪岭熊风,7.3,29573,2015
非凡任务,6.4,15285,2017
谍·莲花,3.1,2071,2015
绣春刀·修罗战场,7.4,26457,2017
游戏规则,4.3,10312,2017
寻龙诀,7.5,168274,2015
猪猪侠之英雄猪少年,4.7,4597,2017
宅女侦探桂香,4.1,4137,2015
傲娇与偏见,5.1,12408,2017
煎饼侠,6.0,116273,2015
少年班,5.7,5069,2015
合约男女,4.4,5952,2017
麦兜响当当,7.4,8314,2017
赛尔号5：雷神崛起,3.7,5662,2015
极限挑战之皇家宝藏,4.3,12551,2016
有一个地方只有我们知道,4.9,28366,2015
土豪520,3.7,3014,2015
情圣,6.1,65854,2016
铁道飞虎,5.1,69912,2016
追凶者也,7.6,13590,2016
大鱼海棠,6.6,56534,2016
咱们结婚吧,7.1,28449,2015
横冲直撞好莱坞,4.5,32236,2015
北京遇上西雅图之不二情书,6.5,78683,2016
忠爱无言,7.2,2544,2017
第七子：降魔之战,5.0,17294,2015
百鸟朝凤,8.0,8695,2016
三少爷的剑,4.9,10075,2016
第三种爱情,5.1,7325,2015
欢乐喜剧人,2.5,6697,2017
神探驾到,4.4,3740,2015
师父,8.1,5482,2015
爸爸去哪儿2,6.1,22352,2015
小门神,6.8,7868,2016
黑猫警长之翡翠之星,5.1,7051,2015
桂宝之爆笑闯宇宙,5.1,6428,2015
一万年以后,5.3,2778,2015
奔跑吧！兄弟,3.3,44394,2015
陪安东尼度过漫长岁月,6.2,6265,2015
所以……和黑粉结婚了,4.7,8114,2016
反贪风暴2,5.3,20910,2016
捉妖记,6.8,244000,2015
叶问3,6.3,77031,2016
我不是潘金莲,6.7,48374,2016
命中注定,7.3,6793,2015
大话西游之大圣娶亲,9.2,18916,2017
血战湘江,3.7,5783,2017
张震讲故事之鬼迷心窍,3.2,2093,2015
嫌疑人X的献身,6.4,39230,2017
明月几时有,7.1,6285,2017
我的战争,4.8,3608,2016
小时代4：灵魂尽头,4.6,48843,2015
杀破狼2,7.3,56041,2015
京城81号2,3.9,21803,2017
洛克王国4：出发！巨人谷,4.7,7698,2015
罗曼蒂克消亡史,7.7,12297,2016
我是路人甲,7.2,6319,2015
天将雄师,5.9,74430,2015
血狼犬,5.8,2512,2017
七月与安生,7.6,16696,2016
九层妖塔,4.2,68293,2015
年兽大作战,5.7,3451,2016
恶人报喜,4.7,2754,2016
我们的十年,4.9,4409,2016
美人鱼,6.8,339213,2016
冈仁波齐,7.7,9949,2017
兔侠之青黎传说,6.2,2973,2015
王朝的女人·杨贵妃,3.6,13394,2015
消失的凶手,4.8,7716,2015
华丽上班族,6.0,4751,2015
恶棍天使,4.0,64959,2015
我的新野蛮女友,3.4,3420,2016
乘风破浪,6.8,104851,2017
何以笙箫默,6.5,35352,2015
奔爱,3.7,4752,2016
怦然星动,4.3,15974,2015
一路惊喜,5.0,6975,2015
绝世高手,6.2,10086,2017
可爱的你,7.8,2222,2015
西游记之大圣归来,8.2,95652,2015
我们诞生在中国,8.0,6658,2016
像素大战,6.1,10097,2015
赏金猎人,5.0,21351,2016
一个勺子,7.7,2253,2015
寒战2,6.9,67827,2016
三生三世十里桃花,4.1,47599,2017
